Group A,Group B,Group C,Group D,Group E,Group F,1B vs,1C vs,1E vs,1F vs
A,B,C,D,NaN,NaN,3A,3D,3B,3C
A,B,C,NaN,E,NaN,3A,3E,3B,3C
A,B,C,NaN,NaN,F,3A,3F,3B,3C
A,B,NaN,D,E,NaN,3D,3E,3A,3B
A,B,NaN,D,NaN,F,3D,3F,3A,3B
A,B,NaN,NaN,E,F,3E,3F,3B,3A
A,NaN,C,D,E,NaN,3E,3D,3C,3A
A,NaN,C,D,NaN,F,3F,3D,3C,3A
A,NaN,C,NaN,E,F,3E,3F,3C,3A
A,NaN,NaN,D,E,F,3E,3F,3D,3A
NaN,B,C,D,E,NaN,3E,3D,3B,3C
NaN,B,C,D,NaN,F,3F,3D,3C,3B
NaN,B,C,NaN,E,F,3F,3E,3C,3B
NaN,B,NaN,D,E,F,3F,3E,3D,3B
NaN,NaN,C,D,E,F,3F,3E,3D,3C
